year,state,quarter,totalRXImputed
2020,VA,3,187475
2020,VA,4,182627
2020,WA,1,184477
2020,WA,2,155982
2020,WA,3,168494
2020,WA,4,164738
2020,WV,1,88675
2020,WV,2,75872
2020,WV,3,83735
2020,WV,4,78064
2020,WY,1,4134
2020,WY,2,3752
2020,WY,3,4077
2020,WY,4,4033
